image-1,shape-1,image-2,shape-2,mse,ssim
dataset/happy-faces/happy-beautiful-girl-holding-her-260nw-748987114.jpg,"(280, 378, 3)",dataset/happy-faces/imagex-2 (19).jpeg,"(193, 261, 3)",46.19775132275132,0.9662861354964987
dataset/happy-faces/image-14.jpeg,"(190, 266, 3)",dataset/happy-faces/images-325.jpeg,"(190, 266, 3)",4.133616937079541,0.9861480339138651
dataset/pics4test/download.jpeg,"(364, 580, 3)",dataset/pics4test/download_copy.jpeg,"(364, 580, 3)",0.0,1.0
